Asteroid designations ( Number, Name, Temporary designation): 13553, Masaakikoyama, 1992_JE
Observation was done on (UT) (format YYYY-MM-DD-hh): 2005 - 06 - 19 - 00:00
Observation was made by : Simone Ieva E-mail; simone.ieva@obspm.fr
At observatory with UAI code: 262
Obsv. comments: 
0.4946 0.95556
0.4953 0.93501
0.4960 0.93918
0.4968 0.94353
0.4975 0.94192
0.4982 0.95479
0.4990 0.94001
0.4997 0.93653
0.5004 0.93934
0.5012 0.92224
0.5019 0.92973
0.5026 0.93874
0.5034 0.93487
0.5041 0.92901
0.5048 0.96237
0.5056 0.95880
0.5063 0.96173
0.5070 0.95055
0.5078 0.94323
0.5085 0.94855
0.5092 0.95139
0.5100 0.95337
0.5107 0.96314
0.5114 0.97274
0.5122 0.95820
0.5129 0.94414
0.5136 0.95097
0.5144 0.94823
0.5151 0.94967
0.5158 0.95259
0.5166 0.93256
0.5173 0.90409
0.5180 0.92540
0.5188 0.93671
0.5195 0.95466
0.5202 0.97052
0.5210 0.97898
0.5217 0.97587
0.5224 0.96092
0.5232 0.96982
0.5239 0.99977
0.5246 0.97713
0.5254 0.96947
0.5261 0.93197
0.5268 0.94312
0.5276 0.95934
0.5283 0.98730
0.5290 0.99744
0.5298 1.00078
0.5305 1.00860
0.5312 0.99070
0.5320 0.96443
0.5327 0.96198
0.5334 0.97013
0.5342 0.98199
0.5349 0.99221
0.5356 0.99814
0.5364 0.98708
0.5371 0.97220
0.5378 0.99120
0.5386 0.99245
0.5393 0.98401
0.5400 0.97665
0.5408 0.97168
0.5415 0.98663
0.5422 0.98461
0.5430 0.96771
0.5437 0.97718
0.5444 0.99490
0.5452 0.98995
0.5459 0.99108
0.5466 0.98408
0.5474 0.97554
0.5481 0.98170
0.5488 0.98885
0.5496 0.99913
0.5503 1.00000
0.5510 0.99437
0.5518 0.99796
0.5525 1.00100
0.5532 0.98349
0.5540 0.99333
0.5547 0.99247
0.5554 1.00414
0.5562 0.99099
0.5569 0.99490
0.5576 0.99586
0.5584 0.97408
0.5591 0.97570
0.5598 0.99090
0.5606 1.00229
0.5613 0.99672
0.5620 0.98316
0.5627 1.00222
0.5635 1.01579
0.5642 1.00023
0.5649 1.00184
0.5657 0.97676
0.5664 1.00242
0.5671 1.00598
0.5679 1.02260
0.5686 1.00598
0.5694 1.00256
0.5701 0.98408
0.5708 1.01950
0.5716 1.01152
0.5723 1.00753
0.5730 1.01663
0.5737 1.01797
0.5745 0.99511
0.5752 0.99241
0.5759 1.00677
0.5767 1.01863
0.5774 1.00593
0.5782 0.99282
0.5789 1.01823
0.5796 1.01616
0.5803 1.01912
0.5811 1.01847
0.5818 1.01301
0.5825 1.02322
0.5833 1.02057
0.5840 1.01955
0.5847 1.00246
0.5855 1.00464
0.5862 1.02025
0.5869 1.02213
0.5877 1.01353
0.5884 0.99994
0.5891 0.97945
0.5899 1.00275
0.5906 1.02805
0.5913 1.02753
0.5921 1.01246
0.5928 1.02783
0.5935 1.02909
0.5943 1.02344
0.5950 1.01742
0.5957 1.03616
0.5965 1.03575
0.5972 1.01592
0.5979 1.01477
0.5987 1.01655
0.5994 1.01150
0.6001 1.02073
0.6009 1.01933
0.6016 1.01695
0.6023 1.02320
0.6031 1.02572
0.6038 1.02805
0.6045 1.02626
0.6053 1.01837
0.6060 1.02556
0.6067 1.02412
0.6075 1.01707
0.6082 1.02429
0.6089 1.01745
0.6097 1.00961
0.6104 1.01700
0.6111 1.02069
0.6119 1.02668
0.6126 1.02024
0.6133 1.00744
0.6141 1.00839
0.6148 1.01356
0.6155 1.01263
0.6163 1.01068
0.6170 1.01136
0.6177 1.02294
0.6185 1.03332
0.6192 1.02739
0.6199 1.02460
0.6207 1.03229
0.6214 1.03054
0.6221 1.01491
0.6229 1.01364
0.6236 1.02125
0.6243 1.01706
0.6251 1.01375
0.6258 1.02401
0.6265 1.03936
0.6273 1.03518
0.6280 1.02402
0.6287 1.01410
0.6295 1.01692
0.6302 1.02347
0.6309 1.02505
0.6317 1.02377
0.6324 1.01736
0.6331 1.02377
0.6339 1.02581
0.6346 1.02563
0.6353 1.02940
0.6361 1.02777
0.6368 1.02835
0.6375 1.03092
0.6383 1.02981
0.6390 1.02252
0.6397 1.02258
0.6405 1.01798
0.6412 1.00939
0.6419 1.01965
0.6427 1.02908
0.6434 1.03226
0.6441 1.02653
0.6449 1.03048
0.6456 1.03849
0.6463 1.03531
0.6471 1.03052
0.6478 1.02614
0.6485 1.01667
0.6493 1.01461
0.6500 1.03212
0.6507 1.04463
0.6515 1.03958
0.6522 1.04323
0.6529 1.04567
0.6537 1.04627
0.6544 1.03976
0.6551 1.00060
0.6559 0.97250
0.6566 1.00032
0.6573 1.04903
0.6581 1.06640
0.6588 1.05056
0.6595 1.04841
0.6603 1.03911
0.6610 1.03984
0.6617 1.03403
0.6625 1.03101
0.6632 1.02974
0.6639 1.03053
0.6647 1.04074
0.6654 1.03885
0.6661 1.04363
0.6669 1.05099
0.6676 1.03754
0.6683 1.04200
0.6691 1.03224
0.6698 1.03550
0.6705 1.04633
0.6713 1.03487
0.6720 1.03103
0.6727 1.04847
0.6735 1.03954
0.6742 1.03042
0.6749 1.02798
0.6757 1.02788
0.6764 1.03296
0.6771 1.04335
0.6779 1.03743
0.6786 1.02271
0.6793 1.03798
0.6801 1.03204
0.6808 1.02368
0.6815 1.05145
0.6823 1.04344
0.6830 1.04455
0.6837 1.04463
0.6845 1.06769
0.6852 1.05174
0.6859 1.02946
0.6867 0.97130
0.6874 0.97876
0.6881 1.01320
0.6889 1.03338
0.6896 1.03703
0.6903 1.04984
0.6911 1.04766
0.6918 1.04754
0.6925 1.04635
0.6933 1.04844
0.6940 1.03650
0.6947 1.05009
0.6955 1.03797
0.6962 1.04733
0.6969 1.05677
0.6977 1.03732
0.6984 1.04155
0.6991 1.02881
0.6999 1.04166
0.7006 1.03535
0.7013 1.02525
0.7021 1.03392
0.7028 1.04282
0.7035 1.04945
0.7043 1.04886
0.7050 1.02693
0.7057 1.03203
0.7065 1.03363
0.7072 1.04675
0.7079 1.03603
0.7087 1.02775
0.7094 1.03342
0.7101 1.03959
0.7109 1.04166
0.7116 1.04694
0.7123 1.05094
0.7131 1.05568
0.7138 1.04367
0.7145 1.04834
0.7153 1.04913
0.7160 1.02796
0.7167 1.00654
0.7175 1.00044
0.7182 0.99971
0.7189 1.00036
0.7197 1.00939
0.7204 1.03706
0.7211 1.06796
0.7219 1.06805
0.7226 1.04293
0.7233 1.01676
0.7241 1.02588
0.7248 1.03845
0.7255 1.02621
0.7263 1.02680
0.7270 1.03562
0.7277 1.01243
0.7285 1.02731
0.7292 1.03957
0.7299 1.03706
0.7307 1.02397
0.7314 1.02892
0.7321 1.03696
0.7329 1.06858
0.7336 1.04935
0.7343 1.03998
0.7351 1.02821
0.7358 1.03303
0.7365 1.03387
0.7373 1.03044
0.7380 1.04627
0.7387 1.03185
0.7395 1.03149
0.7402 1.04279
0.7409 1.01514
0.7417 1.05112
0.7424 1.03956
0.7431 1.05019
0.7439 1.03493
0.7446 1.02938
0.7453 1.03452
0.7461 1.04987
0.7468 1.04279
0.7475 1.03477
0.7483 1.03341
0.7490 1.04672
0.7497 1.03426
0.7505 1.03575
0.7512 1.03316
0.7519 1.02988
0.7527 1.04834
0.7534 1.05321
0.7541 1.02952
0.7549 1.04447
0.7556 1.05607
0.7563 1.06572
0.7571 1.10025
0.7578 1.02988
0.7585 1.07147
0.7593 1.04447
0.7600 1.04447
0.7607 1.04447
0.7615 0.98897
0.7622 1.02449
0.7629 0.97445
0.7637 0.98497
0.7644 1.02218
0.7651 1.05168
0.7659 1.06014
0.7666 1.06630
0.7673 1.07755
0.7681 1.06399
0.7688 1.05894
0.7695 1.04335
0.7703 1.03910
0.7710 1.03914
0.7717 1.03923
0.7725 1.03615
0.7732 1.03809
0.7739 1.04151
0.7747 1.04167
0.7754 1.04664
0.7761 1.04678
0.7769 1.04906
0.7776 1.02653
0.7783 1.04101
0.7791 1.02836
0.7798 1.03690
0.7805 1.03092
0.7813 1.04021
0.7820 1.04651
0.7827 1.03451
0.7835 1.02405
0.7842 1.03882
0.7849 1.04350
0.7857 1.04341
0.7864 1.02888
0.7871 1.03768
0.7879 1.03102
0.7886 1.03730
0.7893 1.02087
0.7901 1.03895
0.7908 1.03106
0.7915 1.02810
0.7923 1.01582
0.7930 1.02060
0.7937 1.02868
0.7945 1.00875
0.7952 1.00579
0.7959 1.01520
0.7967 1.01910
0.7974 1.02833
0.7981 1.04147
0.7989 1.04453
0.7996 1.02656
0.8003 1.01676
0.8011 1.02009
0.8018 1.01945
0.8025 1.02504
0.8033 1.01871
0.8040 1.01192
0.8047 1.01877
0.8055 1.02319
0.8062 1.02702
0.8069 1.01142
0.8077 1.00949
0.8084 1.01869
0.8091 1.01153
0.8099 1.00972
0.8106 1.01973
0.8113 1.02734
0.8121 0.99908
0.8128 0.98815
0.8135 0.98839
0.8143 0.99283
0.8150 0.99851
0.8157 0.96862
0.8165 0.98984
0.8172 0.99949
0.8179 0.98985
0.8187 0.98910
0.8194 1.00151
0.8201 1.03323
0.8209 1.04428
0.8216 0.99825
0.8223 0.96556
0.8231 0.98034
0.8238 1.02195
0.8245 1.05109
0.8253 1.03006
0.8260 1.01958
0.8267 1.01242
0.8275 0.98396
0.8282 0.99115
0.8289 1.00670
0.8297 1.00678
0.8304 1.00923
0.8311 1.00276
0.8319 0.99498
0.8326 0.98299
0.8333 0.99198
0.8341 1.00758
0.8348 1.00362
0.8355 1.00778
0.8363 1.00127
0.8370 1.00560
0.8377 1.01312
0.8385 1.00351
0.8392 1.00636
0.8399 1.01524
0.8407 1.01476
0.8414 1.00564
0.8421 1.02388
0.8429 1.02639
0.8436 1.01421
0.8443 1.00864
0.8451 1.03198
0.8458 1.01634
0.8465 1.04591
0.8473 1.01432
0.8480 1.01011
0.8487 0.99060
0.8495 0.97360
0.8502 1.00051
0.8509 1.00435
0.8517 1.03846
0.8524 1.02260
0.8531 0.96981
0.8539 0.94042
0.8546 0.96806
0.8553 1.00817
0.8561 1.04438
0.8568 1.03482
0.8575 1.01375
0.8583 1.01599
0.8590 1.02442
0.8597 1.00791
0.8605 1.00208
0.8612 1.00136
0.8619 1.00801
0.8627 1.02216
0.8634 1.01326
0.8641 1.00015
0.8649 0.98717
0.8656 0.95785
0.8663 0.95954
0.8671 0.99935
0.8678 1.01251
0.8685 1.00939
0.8693 1.01975
0.8700 1.01353
0.8707 1.01707
0.8715 1.00211
0.8722 0.99162
0.8729 0.99511
0.8737 0.99556
0.8744 1.00867
0.8751 0.98416
0.8759 0.99199
0.8766 1.00685
0.8773 1.01104
0.8781 0.99096
0.8788 1.00072
0.8795 1.01529
0.8803 0.99569
0.8810 1.02077
0.8817 1.01962
0.8825 1.00701
0.8832 0.99779
0.8839 0.99491
0.8847 1.01280
0.8854 1.00612
0.8861 0.99036
0.8869 0.99960
0.8876 0.99530
0.8883 0.99854
0.8891 1.00921
0.8898 1.00198
0.8905 0.99839
0.8913 1.01292
0.8920 1.00604
0.8927 0.98948
0.8935 1.00676
0.8942 1.01482
0.8949 0.99600
0.8957 0.97423
0.8964 0.98029
0.8971 1.00054
0.8979 0.99648
0.8986 0.97773
0.8993 0.95820
0.9001 0.96013
0.9008 0.96265
0.9015 0.98644
0.9023 0.99667
0.9030 1.02880
0.9037 1.03267
0.9045 1.02521
0.9052 1.00421
0.9059 0.98616
0.9067 0.97753
0.9074 0.95958
0.9081 0.97374
0.9089 0.97302
0.9096 0.97945
0.9103 0.98786
0.9111 1.02001
0.9118 0.98614
0.9125 0.96007
0.9133 0.99023
0.9140 1.00266
0.9147 0.97075
0.9155 0.95516
0.9162 0.97281
0.9169 0.95689
0.9177 0.95890
0.9184 1.00039
0.9191 1.00240
0.9199 0.98033
0.9206 0.97896
0.9213 0.97210
0.9221 0.97440
0.9228 0.97499
0.9235 0.97308
0.9243 0.98468
0.9250 0.98973
0.9257 0.98182
0.9265 0.99199
0.9272 0.98769
0.9279 0.97202
0.9287 0.96656
0.9294 0.95221
0.9301 0.94671
0.9309 0.93548
0.9316 0.89935
0.9323 0.94671
0.9331 0.94671
0.9338 0.94671
0.9345 0.89823
0.9353 0.91880
0.9360 0.95177
0.9367 0.93789
0.9375 0.93654
0.9382 0.97765
0.9389 0.93789
0.9397 0.94402
0.9404 0.98064
0.9411 0.94468
0.9419 0.94402
0.9426 0.90018
0.9433 0.89153
0.9441 0.90896
0.9448 0.98803
0.9455 0.95402
0.9463 0.95259
0.9470 1.00225
0.9477 0.95872
0.9485 0.98019
0.9492 0.92005
0.9499 0.97850
0.9507 0.98904
0.9514 0.95800
0.9521 0.91157
0.9529 0.96808
0.9536 0.97475
0.9543 0.94057
0.9551 0.94659
0.9558 0.96138
0.9565 0.97619
0.9573 0.98954
0.9580 0.96932
0.9587 0.94485
0.9595 0.93851
0.9602 0.95353
0.9609 0.96865
0.9617 0.94337
0.9624 0.92724
0.9631 0.94381
0.9639 0.96505
0.9646 0.98733
0.9653 0.95598
0.9661 0.93512
0.9668 0.95705
0.9675 0.98853
0.9683 1.00687
0.9690 1.00145
0.9697 0.94141
0.9705 0.95475
0.9712 0.99515
0.9719 0.95669
0.9727 0.95933
0.9734 0.98383
0.9741 0.94047
0.9749 0.94510
0.9756 0.98274
0.9763 0.97951
0.9771 1.01256
0.9778 0.98516
0.9785 0.96017
0.9793 0.94284
0.9800 0.96924
0.9807 1.01002
0.9815 0.99875
0.9822 1.01716
0.9829 0.98474
0.9837 0.92924
0.9844 0.99960
0.9851 0.97429
0.9859 0.97782
0.9866 0.99401
0.9873 0.96938
0.9881 0.96978
0.9888 0.93942
0.9895 0.91406
0.9903 0.92799
0.9910 0.94339
0.9917 0.95523
0.9925 0.99742
0.9932 1.02434
0.9939 1.02232
0.9947 1.01791
0.9954 0.99434
0.9961 0.95702
0.9969 0.94651
0.9976 0.96368
0.9983 0.94497
